sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,-1.016191840171814,-1.561691403388977,0.799565851688385,-1.561691403388977,0.7141003012657166
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,-0.8214048147201538,-1.6549760103225708,0.7018998861312866,-1.6549760103225708,0.6464447975158691
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,-0.6291592121124268,-1.569079041481018,0.8551326990127563,-1.569079041481018,0.8530861735343933
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,-1.2076530456542969,-1.7140023708343506,0.721537172794342,-1.7140023708343506,0.6227935552597046
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,-1.1086528301239014,-1.799849033355713,0.7806873917579651,-1.799849033355713,0.805213987827301
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,-0.9369957447052002,-1.850741982460022,0.7229495048522949,-1.850741982460022,0.7953991889953613
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,-0.8872054815292358,-1.6373575925827026,0.8969566822052002,-1.6373575925827026,1.0255838632583618
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-1.2856643199920654,-1.9054086208343506,0.7920970320701599,-1.9054086208343506,0.7693506479263306
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,-1.027468204498291,-1.6955323219299316,0.7929656505584717,-1.6955323219299316,0.7372355461120605
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,-1.3843419551849365,-1.911470651626587,0.8303664326667786,-1.911470651626587,0.8119297623634338
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,-0.9714598655700684,-1.6727410554885864,0.9985947012901306,-1.6727410554885864,0.9629124999046326
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,-1.4754698276519775,-1.868994951248169,0.8028849363327026,-1.868994951248169,0.7103881239891052
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,-1.0542066097259521,-1.6750249862670898,0.79066002368927,-1.6750249862670898,0.6969278454780579
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,-1.2323715686798096,-1.8691859245300293,0.8188755512237549,-1.8691859245300293,0.7364035248756409
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,-1.1720013618469238,-1.583964467048645,0.8518437147140503,-1.583964467048645,0.9428257942199707
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,-1.2912248373031616,-1.7303128242492676,0.8679683208465576,-1.7303128242492676,0.7223629951477051
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,-1.205714464187622,-1.8072832822799683,0.8307831883430481,-1.8072832822799683,0.7624900341033936
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,-1.4341037273406982,-1.97060227394104,0.8224252462387085,-1.97060227394104,0.6306240558624268
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,-1.0820486545562744,-1.6485012769699097,0.8457428216934204,-1.6485012769699097,0.7379353642463684
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,-1.555598497390747,-1.9308807849884033,0.79512619972229,-1.9308807849884033,0.5934198498725891
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,-0.9338434338569641,-1.536492943763733,0.8228174448013306,-1.536492943763733,0.9211323857307434
Someone closed a jacket using glue.,improbable,0.0588235294117647,0.8235294117647058,0.0588235294117647,0.0588235294117647,-0.9353469014167786,-1.4271162748336792,0.8047441840171814,-1.4271162748336792,0.8127265572547913
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.1612903225806451,0.8387096774193549,-0.988538384437561,-1.2696892023086548,0.8733842968940735,-1.2696892023086548,0.9765117168426514
Someone closed a jacket using a zipper.,probable,0.9743589743589745,0.0,0.0,0.0256410256410256,-1.240180253982544,-1.8379205465316772,0.793778657913208,-1.8379205465316772,0.786774754524231
Someone constructed a tower out of sparks.,impossible,0.0,0.0256410256410256,0.4871794871794871,0.4871794871794871,-0.9068524837493896,-1.728114366531372,0.7707181572914124,-1.728114366531372,0.8974753022193909
Someone constructed a tower out of bubbles.,improbable,0.05,0.275,0.6,0.075,-0.8181986212730408,-1.6740257740020752,0.8180227279663086,-1.6740257740020752,0.9075155854225159
Someone constructed a tower out of seasons.,inconceivable,0.0,0.0294117647058823,0.1176470588235294,0.8529411764705882,-0.6724226474761963,-1.5488351583480835,0.8358252048492432,-1.5488351583480835,1.0428646802902222
Someone constructed a tower out of blocks.,probable,1.0,0.0,0.0,0.0,-1.1410170793533325,-1.718641996383667,0.7553533315658569,-1.718641996383667,0.867308497428894
Someone cooked dinner out of the moon.,impossible,0.0,0.0,0.1891891891891892,0.8108108108108109,-0.45035606622695923,-1.5685696601867676,0.7275263071060181,-1.5685696601867676,0.8220804929733276
Someone cooked dinner out of insects.,improbable,0.2121212121212121,0.7878787878787878,0.0,0.0,-0.6541010141372681,-1.6790845394134521,0.8329980373382568,-1.6790845394134521,0.8290891051292419
Someone cooked dinner out of thoughts.,inconceivable,0.0,0.027027027027027,0.2432432432432432,0.7297297297297297,-0.8500701189041138,-1.4689557552337646,0.9784829616546631,-1.4689557552337646,1.0222792625427246
Someone cooked dinner out of pasta.,probable,0.7619047619047619,0.0,0.0714285714285714,0.1666666666666666,-1.1330782175064087,-1.8784210681915283,0.801203727722168,-1.8784210681915283,0.9560343027114868
Someone cooled a room using a heater.,impossible,0.075,0.125,0.75,0.05,-1.283176064491272,-1.7624428272247314,0.8771283626556396,-1.7624428272247314,0.7408580183982849
Someone cooled a room using shades.,improbable,0.8387096774193549,0.064516129032258,0.064516129032258,0.032258064516129,-1.2694381475448608,-1.8663524389266968,0.8734308481216431,-1.8663524389266968,0.836650550365448
Someone cooled a room using a taste.,inconceivable,0.0,0.0,0.054054054054054,0.945945945945946,-0.7106367349624634,-1.4494986534118652,0.8278779983520508,-1.4494986534118652,0.9587278366088867
Someone cooled a room using a fan.,probable,0.975609756097561,0.0,0.024390243902439,0.0,-1.3606204986572266,-1.8225414752960205,0.8530977964401245,-1.8225414752960205,0.664023756980896
Someone covered a window using a hair.,impossible,0.0,0.3714285714285714,0.4857142857142857,0.1428571428571428,-0.7128728628158569,-1.6734168529510498,0.840604305267334,-1.6734168529510498,0.9357255697250366
Someone covered a window using sheets.,improbable,0.7777777777777778,0.2222222222222222,0.0,0.0,-1.118239164352417,-1.8478223085403442,0.8717004060745239,-1.8478223085403442,0.8500110507011414
Someone covered a window using a chant.,inconceivable,0.0,0.0294117647058823,0.1764705882352941,0.7941176470588235,-1.1760923862457275,-1.9200356006622314,0.8354024291038513,-1.9200356006622314,0.902597963809967
Someone covered a window using curtains.,probable,1.0,0.0,0.0,0.0,-1.4793726205825806,-2.0369019508361816,0.8288712501525879,-2.0369019508361816,0.7477902770042419
Someone crafted a bowl out of smoke.,impossible,0.0,0.0606060606060606,0.6666666666666666,0.2727272727272727,-0.8909865617752075,-1.6883480548858643,0.8233310580253601,-1.6883480548858643,0.9374669790267944
Someone crafted a bowl out of mud.,improbable,0.4358974358974359,0.4615384615384615,0.1025641025641025,0.0,-1.2548304796218872,-2.038175582885742,0.7631199359893799,-2.038175582885742,0.7899864912033081
Someone crafted a bowl out of math.,inconceivable,0.0,0.0,0.1794871794871795,0.8205128205128205,-0.5346543788909912,-1.2378599643707275,0.9242101907730103,-1.2378599643707275,1.0881675481796265
Someone crafted a bowl out of clay.,probable,0.9736842105263158,0.0,0.0263157894736842,0.0,-1.3431004285812378,-1.961335301399231,0.7552159428596497,-1.961335301399231,0.7506987452507019
Someone boiled water using a refrigerator.,impossible,0.0,0.0,0.8936170212765957,0.1063829787234042,-0.8740630149841309,-1.578751564025879,0.8917180299758911,-1.578751564025879,0.7482565641403198
Someone boiled water using a microwave.,improbable,0.9615384615384616,0.0384615384615384,0.0,0.0,-0.9497111439704895,-1.6604118347167969,0.8431771993637085,-1.6604118347167969,0.6568266153335571
Someone boiled water using justice.,inconceivable,0.0,0.0,0.0697674418604651,0.9302325581395348,-0.9452561736106873,-1.6481988430023193,0.8954200148582458,-1.6481988430023193,1.0187289714813232
Someone boiled water using a kettle.,probable,1.0,0.0,0.0,0.0,-1.3244816064834595,-2.0645229816436768,0.8258081674575806,-2.0645229816436768,0.6301443576812744
Someone crushed a soda can using a tissue.,impossible,0.0,0.2,0.7428571428571429,0.0571428571428571,-1.099738597869873,-1.793261170387268,0.8572866916656494,-1.793261170387268,0.7640341520309448
Someone crushed a soda can using a chair.,improbable,0.4634146341463415,0.5365853658536586,0.0,0.0,-0.9907872080802917,-1.823655605316162,0.8268325328826904,-1.823655605316162,0.7435979843139648
Someone crushed a soda can using a day.,inconceivable,0.0,0.0,0.073170731707317,0.926829268292683,-0.7273077964782715,-1.5481154918670654,0.9077298641204834,-1.5481154918670654,1.1766518354415894
Someone crushed a soda can using a shoe.,probable,0.8125,0.15625,0.03125,0.0,-0.9236665964126587,-1.7869997024536133,0.8084448575973511,-1.7869997024536133,0.7411597967147827
Someone cut grass using a popsicle.,impossible,0.0,0.15625,0.59375,0.25,-0.9129027128219604,-1.8314976692199707,0.861714243888855,-1.8314976692199707,0.8732717037200928
Someone cut grass using a scythe.,improbable,0.4736842105263157,0.4736842105263157,0.0,0.0526315789473684,-1.1800856590270996,-2.030606746673584,0.7903335094451904,-2.030606746673584,0.7348818778991699
