sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,14.958808898925781,-8.720222473144531,-34.579959869384766,-8.720222473144531,-400.6142578125
Someone is about to be born with 2 feet.,possible,1.0,0.0,1.7328033447265625,41.28609848022461,-31.6163330078125,41.28609848022461,-87.09490966796875
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,-11.978996276855469,13.334806442260742,-31.801931381225586,13.334806442260742,-244.93252563476562
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-69.98793029785156,-3.22369384765625,-43.15058135986328,-3.22369384765625,-460.95135498046875
Someone is about to clean a car.,possible,1.0,0.0,-118.9981689453125,-70.8880386352539,-39.170936584472656,-70.8880386352539,-684.714599609375
Someone is about to clean a cloud.,impossible,0.05,0.95,-37.480743408203125,48.99067687988281,-31.162811279296875,48.99067687988281,-96.36468505859375
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,-84.40925598144531,-30.100223541259766,-21.816587448120117,-30.100223541259766,-485.1632080078125
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,-23.322330474853516,-14.04421615600586,-32.711395263671875,-14.04421615600586,-464.69244384765625
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,-26.516029357910156,12.147972106933594,-15.27054214477539,12.147972106933594,-301.27642822265625
Someone is about to count all of the students in a room.,possible,1.0,0.0,-77.46916198730469,-53.918025970458984,-19.896240234375,-53.918025970458984,-453.078857421875
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,-102.2858657836914,-70.30838775634766,-21.492671966552734,-70.30838775634766,-528.22998046875
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,-90.37385559082031,-62.59391784667969,-33.88063049316406,-62.59391784667969,-587.660888671875
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,-57.97918701171875,-28.8157958984375,-42.20600128173828,-28.8157958984375,-588.1039428710938
Someone is about to eat a lollipop.,possible,1.0,0.0,-75.70321655273438,-48.825439453125,-40.531002044677734,-48.825439453125,-560.655029296875
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,-61.71929931640625,-57.798797607421875,-32.56842803955078,-57.798797607421875,-569.3271484375
Someone is about to eat a planet.,impossible,0.025,0.975,28.479061126708984,55.377784729003906,-24.00482177734375,55.377784729003906,-94.87843322753906
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,-18.589868545532227,-25.169902801513672,-30.04104232788086,-25.169902801513672,-348.9502868652344
