sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,-949.523724733769,-1144.1560696613014,-6035.729135412112,-1144.1560696613014,-2712.159137694229
Someone is about to be born with 2 feet.,possible,1.0,0.0,-878.7473680854005,-1134.3955042800817,-5375.86464308092,-1134.3955042800817,-2561.614040831102
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,-882.6151763177473,-1099.2965629795858,-6235.952983494742,-1099.2965629795858,-2747.55256274184
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-1159.311735584266,-1449.3770333488105,-8906.27271748431,-1449.3770333488105,-4047.463493673644
Someone is about to clean a car.,possible,1.0,0.0,-1192.042857844171,-1419.75018345024,-7457.797597739051,-1419.75018345024,-3679.579628965705
Someone is about to clean a cloud.,impossible,0.05,0.95,-1020.3738839094412,-1176.2635070007914,-6231.785579335714,-1176.2635070007914,-2752.8062063615216
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,-1136.5047259055827,-1329.5982623597974,-6881.499662736202,-1329.5982623597974,-3274.698371986965
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,-1033.3427587426409,-1172.8444568189404,-5628.066784124108,-1172.8444568189404,-2727.7210647607567
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,-950.3856896181085,-1105.7237783704227,-5043.994455405324,-1105.7237783704227,-2676.195686650163
Someone is about to count all of the students in a room.,possible,1.0,0.0,-1103.6554568285264,-1306.6506851400045,-7267.511888733768,-1306.6506851400045,-3285.584457511373
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,-1114.284663462256,-1428.133460683228,-7221.297875432711,-1428.133460683228,-3428.307124926867
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,-1341.2252826024223,-1626.9779067690783,-9152.757717345268,-1626.9779067690783,-4500.026721098608
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,-1152.1784845758086,-1382.002070865734,-6879.15661182805,-1382.002070865734,-3662.7921111918404
Someone is about to eat a lollipop.,possible,1.0,0.0,-1243.9921364658903,-1517.536431732724,-9355.030863711858,-1517.536431732724,-4407.361321760135
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,-1293.2992692945654,-1539.804799234449,-8597.349299632924,-1539.804799234449,-4168.543248086706
Someone is about to eat a planet.,impossible,0.025,0.975,-1044.353285025655,-1241.0847523125626,-8632.53685637316,-1241.0847523125626,-3066.8941212444333
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,-1235.9074917296664,-1454.0831760333158,-9727.715310781132,-1454.0831760333158,-3854.690960377393
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,-1281.5150467772185,-1484.1212776727225,-8655.688912766913,-1484.1212776727225,-4058.2124807386226
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,-1311.5790467459517,-1524.3876692001859,-8496.907494942301,-1524.3876692001859,-4150.952697743195
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,-1184.8148693039961,-1364.3176128648631,-7954.8899571596085,-1364.3176128648631,-3322.1161992967636
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,-1207.8976127372825,-1447.483568674268,-7587.757699164058,-1447.483568674268,-3970.8760191859337
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,-1151.274150878714,-1331.4445457613897,-9170.095819141137,-1331.4445457613897,-2740.904030254365
Someone is about to find a sweater in a closet.,possible,1.0,0.0,-1261.9817367999642,-1488.9597578035227,-10525.257939224488,-1488.9597578035227,-3915.55849263093
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,-1237.4632045552087,-1423.9179839839428,-11430.998492096482,-1423.9179839839428,-3359.610028449806
Someone is about to have a cat as a pet.,possible,1.0,0.0,-1203.7880737251987,-1432.5070220984555,-8482.989297190303,-1432.5070220984555,-3710.5941637877413
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333,-1131.2665908077204,-1335.3080358569425,-9263.33286633949,-1335.3080358569425,-3562.535460027151
Someone is about to have the moon as a pet.,impossible,0.0256410256410256,0.9743589743589745,-1063.2541943016645,-1243.2958063839365,-8122.33749952365,-1243.2958063839365,-3348.4345397309116
