sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,-42.72563934326172,-4.3874125480651855,-259.5318908691406,-4.3874125480651855,-24.092010498046875
Someone is about to be born with 2 feet.,possible,1.0,0.0,-46.03061294555664,-4.521821022033691,-234.9849853515625,-4.521821022033691,-24.896862030029297
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,-42.41136932373047,-4.846642017364502,-262.556396484375,-4.846642017364502,-27.44794464111328
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-53.12420654296875,-5.0312700271606445,-393.4986877441406,-5.0312700271606445,-42.426109313964844
Someone is about to clean a car.,possible,1.0,0.0,-48.83043670654297,-4.965412139892578,-318.54498291015625,-4.965412139892578,-41.01758575439453
Someone is about to clean a cloud.,impossible,0.05,0.95,-43.6850471496582,-4.6323065757751465,-270.2579650878906,-4.6323065757751465,-28.46440887451172
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,-46.75370788574219,-5.010435104370117,-289.10601806640625,-5.010435104370117,-37.080421447753906
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,-45.30889129638672,-4.765702247619629,-251.7987060546875,-4.765702247619629,-28.338661193847656
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,-42.30701446533203,-4.831645965576172,-226.04586791992188,-4.831645965576172,-20.322423934936523
Someone is about to count all of the students in a room.,possible,1.0,0.0,-49.97002029418945,-5.649162292480469,-305.81536865234375,-5.649162292480469,-33.77162551879883
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,-51.58717727661133,-5.069153308868408,-302.9908142089844,-5.069153308868408,-35.639747619628906
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,-53.237998962402344,-5.305788040161133,-391.3821105957031,-5.305788040161133,-52.030548095703125
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,-49.842384338378906,-5.165615081787109,-306.33905029296875,-5.165615081787109,-40.96044158935547
Someone is about to eat a lollipop.,possible,1.0,0.0,-49.572837829589844,-5.015086650848389,-407.0087585449219,-5.015086650848389,-49.65613555908203
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,-49.635623931884766,-5.038665771484375,-378.5399169921875,-5.038665771484375,-50.226165771484375
Someone is about to eat a planet.,impossible,0.025,0.975,-41.541831970214844,-4.125934600830078,-345.09661865234375,-4.125934600830078,-29.330711364746094
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,-46.13340759277344,-4.376776695251465,-408.8404541015625,-4.376776695251465,-40.78495788574219
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,-52.191131591796875,-5.154047966003418,-369.6524658203125,-5.154047966003418,-46.10017395019531
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,-51.45536422729492,-5.02053165435791,-371.62603759765625,-5.02053165435791,-46.490386962890625
