sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,-40.099098205566406,-67.98992156982422,-60.68477249145508,-67.98992156982422,-776.6768798828125
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,6.02801513671875,-77.36251831054688,-55.3803825378418,-77.36251831054688,-743.1341552734375
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,69.0017318725586,90.13185119628906,-13.634432792663574,90.13185119628906,395.49658203125
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,-84.23068237304688,-79.0961685180664,-58.87476348876953,-79.0961685180664,-776.259765625
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,-11.572837829589844,-41.809078216552734,-57.1932373046875,-41.809078216552734,-685.9241943359375
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,-4.085872650146484,-51.888221740722656,-49.93810272216797,-51.888221740722656,-639.2308349609375
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,-1.1805839538574219,103.85431671142578,-40.704200744628906,103.85431671142578,194.06948852539062
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-96.96190643310547,-84.06041717529297,-52.98023986816406,-84.06041717529297,-795.3464965820312
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,12.660686492919922,-0.22743988037109375,-50.36820983886719,-0.22743988037109375,-422.9129943847656
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,-0.14322280883789062,-42.6299934387207,-51.86437225341797,-42.6299934387207,-526.6927490234375
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,47.720237731933594,180.73683166503906,-26.263484954833984,180.73683166503906,683.8878784179688
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,-44.574302673339844,-67.76760864257812,-56.79621887207031,-67.76760864257812,-706.9309692382812
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,-37.259239196777344,-71.5329818725586,-50.287200927734375,-71.5329818725586,-837.1785888671875
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,10.236007690429688,-45.3956298828125,-47.602970123291016,-45.3956298828125,-637.9069213867188
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,27.829574584960938,125.95796966552734,-20.93611717224121,125.95796966552734,691.9337158203125
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,-72.14662170410156,-66.17476654052734,-48.43254089355469,-66.17476654052734,-858.3116455078125
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,31.859233856201172,3.3516273498535156,-49.82164001464844,3.3516273498535156,-554.4970703125
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,-35.55842590332031,-81.23828887939453,-51.7347526550293,-81.23828887939453,-747.697021484375
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,34.82663345336914,4.919921875,-24.737110137939453,4.919921875,-239.3513641357422
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,-60.96820831298828,-103.21762084960938,-46.03457260131836,-103.21762084960938,-800.305419921875
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,61.56031799316406,71.96714782714844,-43.99800109863281,71.96714782714844,-207.5827178955078
Someone closed a jacket using glue.,improbable,0.0588235294117647,0.8235294117647058,0.0588235294117647,0.0588235294117647,-12.43820571899414,-50.5823974609375,-47.993812561035156,-50.5823974609375,-685.65771484375
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.1612903225806451,0.8387096774193549,1.3307380676269531,40.5744743347168,-9.21033763885498,40.5744743347168,26.893287658691406
Someone closed a jacket using a zipper.,probable,0.9743589743589745,0.0,0.0,0.0256410256410256,-40.29737091064453,-51.70244216918945,-48.03063201904297,-51.70244216918945,-651.5701904296875
Someone constructed a tower out of sparks.,impossible,0.0,0.0256410256410256,0.4871794871794871,0.4871794871794871,14.18532943725586,-17.413028717041016,-36.61419677734375,-17.413028717041016,-482.04998779296875
Someone constructed a tower out of bubbles.,improbable,0.05,0.275,0.6,0.075,39.82343673706055,-13.30400562286377,-41.69319152832031,-13.30400562286377,-560.4622802734375
Someone constructed a tower out of seasons.,inconceivable,0.0,0.0294117647058823,0.1176470588235294,0.8529411764705882,76.36307525634766,66.25178527832031,-22.548622131347656,66.25178527832031,103.48074340820312
Someone constructed a tower out of blocks.,probable,1.0,0.0,0.0,0.0,-31.961013793945312,-27.29044532775879,-34.56796646118164,-27.29044532775879,-585.2114868164062
Someone cooked dinner out of the moon.,impossible,0.0,0.0,0.1891891891891892,0.8108108108108109,51.71672821044922,79.48170471191406,-30.62872314453125,79.48170471191406,-180.07681274414062
Someone cooked dinner out of insects.,improbable,0.2121212121212121,0.7878787878787878,0.0,0.0,25.719820022583008,-19.186296463012695,-37.7785758972168,-19.186296463012695,-489.0546569824219
Someone cooked dinner out of thoughts.,inconceivable,0.0,0.027027027027027,0.2432432432432432,0.7297297297297297,42.900428771972656,107.34516906738281,-1.107051134109497,107.34516906738281,616.7384033203125
Someone cooked dinner out of pasta.,probable,0.7619047619047619,0.0,0.0714285714285714,0.1666666666666666,-48.80705642700195,-44.982505798339844,-37.080711364746094,-44.982505798339844,-612.646240234375
Someone cooled a room using a heater.,impossible,0.075,0.125,0.75,0.05,-50.656768798828125,-66.96101379394531,-48.185569763183594,-66.96101379394531,-694.0450439453125
Someone cooled a room using shades.,improbable,0.8387096774193549,0.064516129032258,0.064516129032258,0.032258064516129,3.4829673767089844,-48.408050537109375,-31.084716796875,-48.408050537109375,-528.8431396484375
Someone cooled a room using a taste.,inconceivable,0.0,0.0,0.054054054054054,0.945945945945946,54.279605865478516,118.2955322265625,-16.452781677246094,118.2955322265625,430.9870300292969
Someone cooled a room using a fan.,probable,0.975609756097561,0.0,0.024390243902439,0.0,-31.52425193786621,-63.94462203979492,-42.62894821166992,-63.94462203979492,-653.9765625
Someone covered a window using a hair.,impossible,0.0,0.3714285714285714,0.4857142857142857,0.1428571428571428,53.609107971191406,65.4374771118164,-43.88182067871094,65.4374771118164,-282.49700927734375
Someone covered a window using sheets.,improbable,0.7777777777777778,0.2222222222222222,0.0,0.0,5.389270782470703,-49.0305290222168,-46.6466064453125,-49.0305290222168,-672.6415405273438
Someone covered a window using a chant.,inconceivable,0.0,0.0294117647058823,0.1764705882352941,0.7941176470588235,43.92462158203125,5.711772918701172,-22.359493255615234,5.711772918701172,-118.63212585449219
Someone covered a window using curtains.,probable,1.0,0.0,0.0,0.0,-44.46726989746094,-84.33926391601562,-49.7570686340332,-84.33926391601562,-760.58154296875
Someone crafted a bowl out of smoke.,impossible,0.0,0.0606060606060606,0.6666666666666666,0.2727272727272727,-10.047195434570312,-13.176380157470703,-45.488525390625,-13.176380157470703,-384.04730224609375
Someone crafted a bowl out of mud.,improbable,0.4358974358974359,0.4615384615384615,0.1025641025641025,0.0,-6.042823791503906,-38.308258056640625,-42.81498718261719,-38.308258056640625,-623.1080322265625
Someone crafted a bowl out of math.,inconceivable,0.0,0.0,0.1794871794871795,0.8205128205128205,56.56059265136719,59.105072021484375,-16.991382598876953,59.105072021484375,244.02919006347656
Someone crafted a bowl out of clay.,probable,0.9736842105263158,0.0,0.0263157894736842,0.0,-69.44609069824219,-78.76446533203125,-49.93579864501953,-78.76446533203125,-783.966064453125
