sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,-45.428436279296875,-4.693811893463135,-493.17919921875,-4.693811893463135,-40.70879364013672
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,-40.86967849731445,-4.3806867599487305,-369.48248291015625,-4.3806867599487305,-32.70490264892578
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,-44.058189392089844,-4.40334939956665,-363.2499694824219,-4.40334939956665,-32.745872497558594
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,-46.49641418457031,-4.890583515167236,-487.2679443359375,-4.890583515167236,-42.98351287841797
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,-46.67125701904297,-4.428080081939697,-408.8977966308594,-4.428080081939697,-39.790157318115234
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,-44.57292175292969,-4.328477382659912,-387.17974853515625,-4.328477382659912,-35.962459564208984
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,-44.59617614746094,-3.717867851257324,-305.0521240234375,-3.717867851257324,-30.93035125732422
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-47.82563781738281,-4.542396545410156,-430.11676025390625,-4.542396545410156,-40.761756896972656
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,-41.57160568237305,-4.23844575881958,-311.936767578125,-4.23844575881958,-32.86957931518555
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,-40.79648208618164,-4.608125686645508,-262.16448974609375,-4.608125686645508,-29.491697311401367
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,-32.61980438232422,-3.5772454738616943,-133.5150146484375,-3.5772454738616943,-19.969524383544922
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,-43.26746368408203,-4.6036553382873535,-284.33380126953125,-4.6036553382873535,-35.009681701660156
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,-43.34803009033203,-4.701458930969238,-367.04925537109375,-4.701458930969238,-37.24332809448242
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,-43.820472717285156,-4.826570987701416,-343.52191162109375,-4.826570987701416,-35.28536605834961
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,-42.11390686035156,-3.8529646396636963,-210.54551696777344,-3.8529646396636963,-27.386699676513672
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,-47.174049377441406,-4.877685070037842,-346.75567626953125,-4.877685070037842,-40.96477127075195
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,-39.37571334838867,-4.436412334442139,-297.3577880859375,-4.436412334442139,-27.459049224853516
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,-44.0639533996582,-4.812312126159668,-326.234619140625,-4.812312126159668,-30.918270111083984
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,-41.738311767578125,-4.5476250648498535,-321.197998046875,-4.5476250648498535,-26.212675094604492
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,-45.314971923828125,-4.9411115646362305,-329.735595703125,-4.9411115646362305,-32.991371154785156
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,-41.92405700683594,-4.326142311096191,-320.81121826171875,-4.326142311096191,-28.676849365234375
Someone closed a jacket using glue.,improbable,0.0588235294117647,0.8235294117647058,0.0588235294117647,0.0588235294117647,-43.21543884277344,-4.392509937286377,-437.29071044921875,-4.392509937286377,-35.27268981933594
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.1612903225806451,0.8387096774193549,-47.12766647338867,-4.13319206237793,-334.6956787109375,-4.13319206237793,-31.279361724853516
Someone closed a jacket using a zipper.,probable,0.9743589743589745,0.0,0.0,0.0256410256410256,-46.50535583496094,-4.415236473083496,-391.9564514160156,-4.415236473083496,-34.68672561645508
