,stimulus,rating,layers,improbable_impossible,impossible_inconceivable
0,There is an African aftermath.,0.5,12,428.0,-664.0
1,There is an African bill.,-0.3333333333333333,12,342.0,-548.0
2,There is an African can.,0.3333333333333333,12,500.0,-1176.0
3,There is an African catalog.,0.0,12,316.0,-900.0
4,There is an African chance.,-1.3846153846153846,12,410.0,-556.0
5,There is an African grief.,1.1,12,434.0,-716.0
6,There is an African handset.,-0.7,12,235.0,-916.0
7,There is an African inception.,-0.3,12,400.0,-516.0
8,There is an African investigation.,1.875,12,224.0,-494.0
9,There is an African luxury.,2.125,12,524.0,-648.0
10,There is an African nomination.,0.6923076923076923,12,302.0,-656.0
11,There is an African nose.,1.181818181818182,12,416.0,-944.0
12,There is an African novice.,0.5,12,173.0,-940.0
13,There is an African outset.,-1.181818181818182,12,330.0,-532.0
14,There is an African pier.,0.6666666666666666,12,342.0,-960.0
15,There is an African pollution.,1.7272727272727273,12,588.0,-660.0
16,There is an African preparation.,-0.7,12,228.0,-1144.0
17,There is an African shortage.,-0.9166666666666666,12,434.0,-596.0
18,There is an African trunk.,0.25,12,274.0,-984.0
19,There is an American beam.,-1.6,12,318.0,-716.0
20,There is an American bulk.,-0.6,12,580.0,-492.0
21,There is an American correlation.,-0.1111111111111111,12,332.0,-552.0
22,There is an American crater.,0.0,12,288.0,-984.0
23,There is an American dairy.,1.8888888888888888,12,258.0,-788.0
24,There is an American hook.,-0.3333333333333333,12,418.0,-540.0
25,There is an American ice.,0.6363636363636364,12,552.0,-552.0
26,There is an American incidence.,1.7272727272727273,12,284.0,-382.0
27,There is an American inflammation.,-1.8,12,482.0,-644.0
28,There is an American ion.,-2.727272727272727,12,434.0,-298.0
29,There is an American oxide.,-1.8571428571428568,12,147.0,-776.0
30,There is an American protein.,-0.4166666666666667,12,384.0,-620.0
31,There is an American reef.,1.3333333333333333,12,510.0,-940.0
32,There is an American ref.,1.3636363636363635,12,300.0,-288.0
33,There is an American sleep.,-0.4545454545454545,12,536.0,-668.0
34,There is an American throat.,-1.2,12,556.0,-612.0
35,There is an American tiger.,2.0,12,322.0,-1096.0
36,There is an American wording.,1.3,12,234.0,-540.0
37,There is an Arab ace.,-1.2222222222222223,12,286.0,-796.0
38,There is an Arab ascent.,-0.7777777777777778,12,378.0,-608.0
39,There is an Arab banner.,0.4545454545454545,12,112.5,-924.0
40,There is an Arab beauty.,2.210526315789474,12,278.0,-660.0
41,There is an Arab beer.,2.0,12,372.0,-1424.0
42,There is an Arab century.,-0.625,12,398.0,-820.0
43,There is an Arab clarification.,-0.4666666666666667,12,316.0,-576.0
44,There is an Arab compliance.,0.3333333333333333,12,544.0,-448.0
45,There is an Arab councillor.,1.7272727272727273,12,159.0,-1248.0
46,There is an Arab cream.,-0.5555555555555556,12,181.0,-1168.0
47,There is an Arab danger.,0.1538461538461538,12,290.0,-908.0
48,There is an Arab deficiency.,-0.0769230769230769,12,378.0,-552.0
49,There is an Arab dissolution.,-1.1111111111111112,12,512.0,-628.0
50,There is an Arab gem.,0.8333333333333334,12,324.0,-784.0
51,There is an Arab hierarchy.,2.4444444444444446,12,392.0,-1144.0
52,There is an Arab induction.,-1.0,12,384.0,-484.0
53,There is an Arab jazz.,0.2727272727272727,12,512.0,-1096.0
54,There is an Arab leisure.,-1.619047619047619,12,494.0,-608.0
55,There is an Arab lifetime.,1.4166666666666667,12,536.0,-540.0
56,There is an Arab monitoring.,-0.9090909090909092,12,412.0,-576.0
57,There is an Arab motorway.,-0.0476190476190476,12,334.0,-1016.0
58,There is an Arab planner.,0.2222222222222222,12,213.0,-676.0
59,There is an Arab procession.,0.6,12,86.5,-1016.0
60,There is an Arab reunion.,1.4615384615384617,12,154.0,-876.0
61,There is an Arab row.,-2.1,12,255.0,-696.0
62,There is an Arab sanctuary.,0.8181818181818182,12,245.0,-880.0
63,There is an Arab sink.,-0.1666666666666666,12,276.0,-1376.0
64,There is an Arab spreadsheet.,-0.9090909090909092,12,404.0,-808.0
65,There is an Arab theology.,1.5454545454545454,12,520.0,-988.0
66,There is an Arab thread.,-0.6363636363636364,12,241.0,-1016.0
67,There is an Arab towel.,1.2727272727272727,12,276.0,-1056.0
68,There is an Arab vampire.,0.6428571428571429,12,346.0,-1320.0
69,There is an Arab variable.,-1.4545454545454546,12,382.0,-884.0
70,There is an Arab variation.,-0.3636363636363636,12,235.0,-1200.0
71,There is an Arab vocalist.,1.3333333333333333,12,67.0,-860.0
72,There is an Arab voltage.,-2.1818181818181817,12,544.0,-620.0
73,There is an Asian assistance.,1.25,12,340.0,-532.0
74,There is an Asian batch.,0.4545454545454545,12,304.0,-956.0
75,There is an Asian bowel.,-0.3,12,492.0,-752.0
76,There is an Asian chip.,0.875,12,428.0,-764.0
77,There is an Asian cloth.,1.0,12,298.0,-840.0
78,There is an Asian consequence.,-2.1666666666666665,12,402.0,-724.0
79,There is an Asian cottage.,1.3333333333333333,12,158.0,-1112.0
80,There is an Asian dentist.,2.4,12,54.25,-1128.0
81,There is an Asian dissertation.,-0.5555555555555556,12,221.0,-408.0
82,There is an Asian ease.,-2.2,12,330.0,-792.0
83,There is an Asian editorial.,0.4545454545454545,12,253.0,-688.0
84,There is an Asian founding.,0.0,12,552.0,-466.0
85,There is an Asian fraction.,-0.7777777777777778,12,316.0,-600.0
